event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,relief_sent,,,news,Нехватка продовольствия на $onOrAt $market организуется помощь  на $reliefMarket,"Флот помощи находится в $reliefMarket в системе $reliefSystem и должен прибыть в $marketSystem $eta.","Флот перевозит достаточно продовольствия, чтобы положить конец дефициту.

Если флот не прибудет, как ожидалось, ситуация на $market еще больше дестабилизируется.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_unavailable,,,news,Нехватка продовольствия на $onOrAt $market условия ухудшаются,"Хотя на раннем этапе ходили слухи о том, что соседний мир может отправить помощь, похоже, что такой помощи не предвидится.",Беспорядки усилились на $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_aborted,,,news,Дефицит продовольствия на $onOrAt $market флот помощи повернул вспять,"Спасательный флот из $reliefMarket был атакован на пути к $market, понес большие потери и был вынужден повернуть назад. Нехватка продовольствия не ослабевает.",Беспорядки усилились на $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_relief_arrived,,,news,Нехватка продовольствия $onOrAt $market прибыл флот помощи,"Прибыл спасательный флот из $reliefMarket, и нехватка продовольствия в $onOrAt $market закончилась.","Беспорядки усилились на $stabilityPenaltyEnd.

Цены на продовольствие $onOrAt $market вернулись к нормальному уровню.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_lost,,,news,Нехватка продовольствия на $onOrAt $market потерян флот помощи,"Флот помощи из $reliefMarket не прибыл в пункт назначения, и нехватка продовольствия не ослабевает.",Беспорядки усилились на $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_expired,,,news,Нехватка продовольствия на $onOrAt $market закончилась,"В докладе указывается, что нехватка продовольствия на $onOrAt $market в настоящее время закончилась. Различные факторы, в том числе строгое нормирование, меры по подавлению беспорядков и приход нескольких независимых трейдеров, приписываются к прекращению дефицита.","Беспорядки усилились на $stabilityPenaltyExpire.
Цены на продовольствие $onOrAt $market вернулись к нормальному уровню.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player,,,news,Нехватка продовольствия на $onOrAt $market закончилась,"В докладе указывается, что нехватка продовольствия на $onOrAt $market в настоящее время закончилась. Прибытие флота помощи, укомплектованного $playerName, приписывают прекращение дефицита, хотя местный администратор быстро указал на свой собственный вклад.","Беспорядки усилились на $stabilityPenaltyEnd.
Цены на продовольствие $onOrAt $market вернулись к нормальному уровню.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player_black,,,news,Нехватка продовольствия на $onOrAt $market закончилась,"В докладе указывается, что нехватка продовольствия на $onOrAt $market в настоящее время закончилась. К сожалению, значительная часть распределения продовольственной помощи осуществлялась преступными элементами, укрепляя их позиции и подрывая местные органы власти как в финансовом отношении, так и в глазах населения.","Беспорядки усилились на $stabilityPenaltyEndBlack.

Цены на продовольствие $onOrAt $market вернулись к нормальному уровню.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,end_player_fast,,,news,Нехватка продовольствия на $onOrAt $market закончилась,"В докладе указывается, что нехватка продовольствия на $onOrAt $market в настоящее время закончилась. Своевременному прибытию флота помощи, укомплектованного $playerName, приписывают быстрое прекращение дефицита и смягчение его долгосрочных последствий.","Отсутствие увеличения беспорядков на $onOrAt $market.

Цены на продовольствие $onOrAt $market вернулись к нормальному уровню.",,graphics/icons/markets/food_shortage.png,prices,,
,,,,,,,,,,,,
,,,,,,,,,,,,
# player smuggling investigation,,,,,,,,,,,,
investigation_smuggling,start_smuggling,,,secure_comm,Расследование контрабанды на $onOrAt $market,"Зашифрованное сообщение от одного из ваших контактов в преступном мире $market предупреждает вас о том, что власти $theMarketFaction начали расследование недавней контрабандной деятельности.","Если расследование установит, что вы причастны к контрабанде, $theMarketFaction станет негостеприимным по отношению к вам.

$InvestigatorPost $investigatorName поручено провести расследование. Вы можете повлиять на результат, связавшись с $invHimOrHer.

Расследование продлится $duration.",,,important,,
investigation_smuggling,clear_smuggling,,,player_intel_always,Расследование контрабанды на $onOrAt $market - оправдан,"Расследование $marketFaction контрабанды завершено, и похоже, что ваше имя было очищено - или, по крайней мере, не было никаких убедительных доказательств, подтверждающих вашу причастность.",Отношения с $theMarketFaction не затрагиваются.,,,important,,
investigation_smuggling,clear_smuggling_bribe,,,player_intel_always,Расследование контрабанды на $onOrAt $market - оправдан,"Расследование $marketFaction контрабанды было завершено в соответствии с вашей ""особой договоренностью"" с $investigatorName, и это конкретное пятно на вашей репутации было стерто.","Взятка $InvestigatorPost $investigatorName была эффективной.

Отношения с $theMarketFaction не затрагиваются.",,,important,,
investigation_smuggling,player_guilty_smuggling,,,player_intel_always,Расследование контрабанды на $onOrAt $market - осужден,"Расследование $marketFaction пришло к выводу, что вы действительно были вовлечены в недавнюю контрабандную деятельность.",,,,important,,
# faction good reputation investigation,,,,,,,,,,,,
investigation_goodrep,start_goodrep,,,secure_comm,$MarketFaction расследование ваших связей с $OtherFaction,"Достоверное сообщение от одного из ваших контактов $onOrAt $market предупреждает вас, что власти $theMarketFaction начали расследование ваших связей с $theOtherFactionLong.","$TheMarketFaction может стать враждебными по отношению к вам в результате расследования.

$InvestigatorPost $investigatorName $onOrAt $market поручено провести расследование. Вы можете повлиять на результат, связавшись с $invHimOrHer.

Расследование продлится в течение $duration.",,,important,,
investigation_goodrep,clear_goodrep,,,player_intel_always,$MarketFaction расследование ваших связей с $OtherFaction - оправдан,"Расследование $marketFaction ваших связей с $theOtherFactionLong завершено, и с вас сняли обвинения в действиях против интересов $marketFaction.",Отношения с $theMarketFaction остаются неизменными.,,,important,,
investigation_goodrep,clear_goodrep_bribe,,,player_intel_always,$MarketFaction расследование ваших связей с $OtherFaction - оправдан,"Расследование $marketFaction ваших связей с $theOtherFactionLong было завершено в соответствии с вашей ""особой договоренностью"" с $investigatorName, и вы были освобождены от действий против интересов $marketFaction.","Взятка $InvestigatorPost $investigatorName была эффективной.

Отношения с $theMarketFaction не затрагиваются.",,,important,,
investigation_goodrep,player_guilty_goodrep,,,player_intel_always,$MarketFaction расследование ваших связей с $OtherFaction - осужден,"Расследование $marketFaction ваших связей с $theOtherFactionLong пришло к выводу, что вы действовали против интересов $theMarketFaction. Понятно, что $theMarketFaction будет относиться к вам с особым подозрением.",,,,important,,
,,,,,,,,,,,,
# comm sniffer investigation,,,,,,,,,,,,
investigation_comm_sniffer,start_comm_sniffer,,,player_intel_always,Потерян контакт с анализатором связи в $name,"Анализатор связи, установленный на $name, перестал создавать отчеты. Вероятно, это связано с тем, что он удаляется программным обеспечением безопасности. Вполне возможно, что ручной аудит журналов безопасности породит расследование происхождения анализатора.",Анализатор связи в $name больше не работает.,,,,,
investigation_comm_sniffer,player_guilty_comm_sniffer,,,player_intel_always,Анализатор связи на $name прослежен до вас,Тщательный аудит журналов безопасности на $name привел к тому, что вас обвинили в нарушении безопасности.,,,,,,
,,,,,,,,,,,,
# trade disruption reports,,,,,,,,,,,,
trade_disruption,report_td,,,news,Торговля нарушена $onOrAt $market в системе $marketSystem,"Торговые флоты идущие в или из $market, не достигают места назначения в значительном количестве. В докладе указывается на пиратство или войну как на наиболее вероятных виновников.","Цены, скорее всего, вернутся к норме в течение двух месяцев.

Следующие предметы потребления затронуты:
$commoditySummary

Выберите ""цены"" и переключитесь на вкладку карты для деталей.",,graphics/icons/markets/trade_disruption.png,prices,,
trade_disruption,report_smuggling,,,news,Контрабанда $onOrAt $market деятельности в системе $marketSystem,$onOrAt $market ситуации стал менее стабильным в результате недавней деятельности контрабанды. Местные власти обещают полномасштабное расследование.,Стабильность уменьшена $smugglingPenalty.,,graphics/icons/markets/smuggling.png,,,
trade_disruption,report_smuggling_player,,,news,Контрабанда $onOrAt $market деятельности в системе $marketSystem,"$onOrAt $market ситуации стал менее стабильным в результате недавней деятельности контрабанды, в которую Вы были вовлечены. Местные власти обещают полномасштабное расследование.","Стабильность уменьшена $smugglingPenalty.

Ваши недавние действия способствовали ситуации.",,graphics/icons/markets/smuggling.png,,,
,,,,,,,,,,,,
# rep changes,,,,,,,,,,,,
rep_tracker,trade_rep,,,player_intel_always,Положение с $theFaction улучшилось должный торговать,"Есть признаки что Ваша недавняя торговая деятельность на уровне $marketList была отмечена $theFaction.",,,,nomap,,
rep_tracker,smuggling_rep,,,player_intel_always,"Положение с $theFaction, уменьшенным из-за контрабанды","Есть признаки что Ваша недавняя торговля черным рынком с $marketList была отмечена $theFaction. Нет никакого прямого доказательства, но ясно, что Ваши действия тщательно исследуются более тесно, чем прежде.",,,,nomap,,
rep_tracker,trade_negative,,,player_intel_always,"Положение с $theHostileFaction, уменьшенным должный торговать с $pickedMarket","Есть признаки что Ваша торговля с $pickedMarket была достаточно значительной, чтобы быть замеченной $theHostileFaction, который является враждебным к $theFaction.","Ваша деятельность, о которой первоначально сообщают стороны на уровне $hostileMarket.

Контрабанда (если таковые имеются) оказала меньше влияния, чем открытая торговля.",,,nomap,,
#rep_tracker,trade_no_change,,,player_intel_always,"Положение с $theFaction, незатронутым торговлей","Ваша недавняя торговая деятельность с $marketList, в то время как отмечено $theFaction, не привела ни к какому изменению в отношениях.","Отношения в пункте, где торговля не будет влиять на их.",,,,,
#rep_tracker,trade_no_change_negative,,,player_intel_always,"Положение с $theHostileFaction, незатронутым торговлей","Ваша недавняя торговая деятельность с $pickedMarket, в то время как отмечено враждебными властями на уровне $hostileMarket, не привела ни к какому изменению в отношениях.","Отношения в пункте, где торговля не будет влиять на их.",,,,,
rep_tracker,trade_xp_gain,,,player_intel_always,Торгуйте опытом,Ваши недавние отрасли дали Вам новое понимание работ экономики. Вы также установили некоторые ценные контакты.,Приобретенный опыт $xpGain.,,,nomap,,
rep_tracker,rep_decay_positive,,,player_intel_always,Положение с $theFaction улучшилось,"Незначительный пренебрегает и о преступлениях забывают через некоторое время, если не укрепленный недавним образцом поведения.",,,,nomap,,
#rep_tracker,rep_decay_negative,,,player_intel_always,Положение с уменьшенным $theFaction,"Незначительный пренебрегает и о маленькой пользе быстро забывают, если не укрепленный недавним образцом поведения.",,,,,,
rep_tracker,battle_rep_positive,,,secure_comm,Положение с $theFaction улучшилось,Ваше сражение с $otherFleetName было отмечено $theFaction на уровне $market.,Новости о сражении первоначально взяты сторонами на уровне $market.,,,nomap,,
rep_tracker,comm_access_granted,,,player_intel_always,$Faction обеспечивают предоставленный доступ коммуникации,"Из-за Вашей пользы, постоянной ($factionStanding), Вам предоставил доступ к внутренним каналам коммуникации $Faction $onOrAt $market властей.",,,,nomap,,
rep_tracker,comm_access_revoked,,,player_intel_always,$Faction обеспечивают закрывший доступ коммуникации,"Из-за Вашего уменьшенного постоянного ($factionStanding), Ваш доступ к внутренним каналам коммуникации $Faction закрылся.",,,,nomap,,
,,,,,,,,,,,,
# trade info updates (prices etc),,,,,,,,,,,,
trade_info,prices_market,,,player_intel_always,Ценовое обновление $market,Наслаждение местной информацией о чистых доходах коммуникации о некоторых предметах потребления с необычными ценами на уровне $market.,$priceList,,,prices,,
trade_info,prices_local,,,player_intel_always,Местное ценовое обновление,Наслаждение местным трафиком коммуникации и другими доступными источниками данных привело к ценовым данным для некоторых предметов потребления на рынках в системе.,$priceList,,,prices,,
trade_info,prices_sniffer,,,player_intel_always,Ценовое обновление,Микровзрыв от наркомана коммуникации на уровне $relayName содержит информацию о ценах о некоторых предметах потребления в звездной системе $fromSystem.,$priceList,,,prices,,
trade_info,prices_remote,,,player_intel_always,Ценовое обновление,Наслаждение местным трафиком коммуникации и другими доступными источниками данных привело к ценовым данным для некоторых предметов потребления в звездной системе $fromSystem.,$priceList,,,prices,,
,,,,,,,,,,,,
# customs inspection,,,,,,,,,,,,
customs_inspection,player_evaded,,,player_intel_always,Таможенный досмотр,"Ваше уклонение от таможенного досмотра, хотя и успешное в краткосрочной перспективе, было отмечено $faction органами.",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
# system-wide bounty reports,,,,,,,,,,,,
system_bounty,likely,,,player_intel,Награда вероятно будет предложена $market,"Власти $onOrAt $market, по слухам, рассматривают возможность размещения награды за все флота враждебные $theMarketFaction.","
",,,,,
system_bounty,start,,,news,Награда предложенная $market,"Власти $onOrAt $market, сытые по горло постоянными нападениями на корабли, нарушения торговли и общим состоянием около войны, назначили награду за все флота враждебных $theMarketFaction.","Продлится $daysLeft дней.

Выплачиваемая сумма зависит от уничтоженных кораблей (начиная с $baseBounty кредитов за фрегат), стояние с $theMarketFaction также может улучшиться.

Корабли должны быть уничтожены или выведены из строя в системе или поблизости в гиперпространстве.

Оплата доставляется по защищенному каналу связи через ближайший ретранслятор связи.
",,,,,
system_bounty,start_with_faction,,,news,Награда предложенная $market,"Власти $onOrAt $market, сытые по горло постоянными нападениями на корабли, нарушения торговли и общим состоянием около войны, назначили награду за все флота враждебных $theMarketFaction.","Продлится $daysLeft дней.

Вероятно, вызванный деятельностью $enemyFaction в системе.

Выплачиваемая сумма зависит от уничтоженных кораблей (начиная с $baseBounty кредитов за фрегат), стояние с $theMarketFaction также может улучшиться.

Корабли должны быть уничтожены или выведены из строя в системе или поблизости в гиперпространстве.

Оплата доставляется по защищенному каналу связи через ближайший ретранслятор связи.
",,,,,
system_bounty,bounty_payment,,,secure_comm,Выплата награды от $market: $bountyCredits кредитов,"Сообщение содержит зашифрованное вложение, содержащее выплату $bountyCredits кредитов.","Получено $bountyCredits кредитов.

$market будет продолжать предлагать награду в течение $daysLeft дня (дней).",,graphics/icons/intel/gain_credits.png,nomap,,
system_bounty,bounty_payment_share,,,secure_comm,Выплата награды от $market: $bountyCredits кредитов,"Сообщение имеет зашифрованное вложение, которое содержит вашу долю награды в размере $bountyCredits кредитов.","Получено $bountyCredits кредитов.

$market продолжит предлагать награду в течение $daysLeft дня (дней).",,graphics/icons/intel/gain_credits.png,nomap,,
system_bounty,bounty_no_payment,,,player_intel_always,Оценочная награда от $market,"Сообщение содержит отчет внутренней разведки относительно награды, предлагаемой от $market.","Никаких вознаграждений от $theMarketFaction из-за отношений $factionStanding  к вам.

$market будет продолжать предлагать награду в течение $daysLeft дня (дней).",,,nomap,,
system_bounty,bounty_no_rep,,,player_intel_always,Assessment re: bounty from $market,The message contains an internal intelligence report regarding the bounty on offer from $market.,"Никаких вознаграждений или улучшения отношений из-за того, что $theMarketFaction $factionStanding по отношению к вам.

$market будет продолжать предлагать награду в течение $daysLeft дня (дней).",,,nomap,,
system_bounty,end,,,news,Выплата награды от $market окончена,"Власти $onOrAt $market объявили о том, что период выдачи наград официально закончился.",Выплаты наград больше производиться не будут.,,,nomap,,
,,,,,,,,,,,,
comm_sniffer,report,,,player_comm_sniffer,Данные анализатора связи,"Вложение содержит данные различного трафика сообщений, как сгенерированного человеком, так и автоматизированного, проходящего через $system систему.",Повышает шансы на точное предсказание будущих событий в звездной системе.,,,,,
,,,,,,,,,,,,
# person bounty reports,,,,,,,,,,,,
person_bounty,start_pirate,,,news,$bountyCredits кредитная награда опубликованная $theFaction на $targetName,"$Faction власти $onOrAt $market разместили награду за привлечение к ответственности $targetName, печально известного пирата.","$bountyCredits кредитное вознаграждение, доставляемое по защищенному каналу связи через ближайшую коммуникационную ретрансляцию.

Предлагается за $daysLeft дней.

$targetDesc

По слухам, это $hideoutCrumb.",,,,,
person_bounty,start_deserter,,,news,$bountyCredits кредитная награда опубликована $theFaction на $targetName,"Власти $Faction  $onOrAt $market объявили награду за привлечение к ответственности $targetName, осужденных за дезертирство.","$bountyCredits кредитное вознаграждение, доставляемое по защищенному каналу связи через ближайший ретранслятор связи.

Предлагается за $daysLeft дней.

$targetDesc

По слухам, это $hideoutCrumb.",,,,,
person_bounty,bounty_payment_end,,,secure_comm,Выплата награды от $theFaction: $bountyCredits кредитов,"Сообщение содержит зашифрованное вложение, содержащее выплату $bountyCredits кредитов за привлечение $targetName к ответственности.",Получено $bountyCredits кредитов.,,graphics/icons/intel/gain_credits.png,nomap,,
person_bounty,bounty_payment_share_end,,,secure_comm,Выплата награды от $theFaction: $bountyCredits кредитов,"Сообщение имеет зашифрованное вложение, которое содержит вашу долю вознаграждения, состоящего из $bountyCredits кредитов, за привлечение $targetName к ответственности.",Получено $bountyCredits кредитов.,,graphics/icons/intel/gain_credits.png,nomap,,
person_bounty,bounty_no_payment_end,,,player_intel_always,Оценка награды: $targetName,Сообщение содержит отчет внутренней разведки о вознаграждении за $targetName.,Никаких вознаграждений из-за отношения $theFaction $factionStanding к вам.,,,nomap,,
person_bounty,bounty_no_rep_end,,,player_intel_always,Оценка награды: $targetName,Сообщение содержит отчет внутренней разведки о вознаграждении за $targetName.,"Никаких вознаграждений или улучшения отношений из-за того, что $theFaction $factionStanding по отношению к вам.",,,nomap,,
person_bounty,other_end,,,news,Награда за $targetName закончилась,"В сообщениях указывается, что $targetName был убит в результате инцидента, не связанного с назначением награды.",Вознаграждение больше не предлагается.,,,nomap,,
person_bounty,expire_end,,,news,Награда за $targetName закончилась,"Власти $Faction $onOrAt $market отозвали награду, ранее размещенную на $targetName.",Вознаграждение больше не предлагается.,,,nomap,,
,,,,,,,,,,,,
# test mission,,,,,,,,,,,,
test_mission,start,,,player_intel_always,Тестовая миссия принята,"Вы приняли тестовую миссию. Поздравляю, наверное.",Никаких вознаграждений скорее всего не предвидится.,,,,,
test_mission,end_success,,,player_intel_always,Тестовая миссия завершена успешно,Тестовая миссия успешно завершена.,,,,,,
test_mission,end_failure,,,player_intel_always,Тестовая миссия завершилась неудачей,Тестовая миссия провалилась.,,,,,,
,,,,,,,,,,,,
# market procurement mission,,,,,,,,,,,,
market_procurement,posting,,,posting,Приобретайте $quantity единицы $commodity и доставляйте $market в течение $daysLeft за $rewardCredits оплату.,Свяжитесь с $contactDesc $contactName в $market для завершения доставки.,"Базовый платеж составляет $perUnit за единицу.

$market контролируется властями $marketFaction.

$contactName $contactDetail.",,,no_system_prefix,,
market_procurement,posting_bonus,,,posting,Приобретайте $quantity единицы $commodity и доставляйте $market в течение $daysLeft за $rewardCredits оплату. $bonusCredits бонус за доставку в течение $bonusDays.,Свяжитесь с $contactDesc $contactName в $market для завершения доставки.,"Базовый платеж составляет $perUnit за единицу.

$market контролируется властями $marketFaction.

$contactName $contactDetail.",,,,,
market_procurement,accept,,,secure_comm,Принято: приобрести $quantity единицу (ы) $commodity и поставить $market,"Приобретайте $quantity единицы $commodity и доставляйте в $market.

Свяжитесь с $contactDesc $contactName в $market для завершения доставки.","$daysLeft дней осталось, чтобы завершить доставку.

Вознаграждение $rewardCredits ($perUnit за единицу).

$market контролируется властями $marketFaction.

$contactName $contactDetail.",,,"no_system_prefix, important",,
market_procurement,accept_bonus,,,secure_comm,Принято: приобрести $quantity единицу (ы) $commodity и поставить $market,"Приобретайте $quantity единицы $commodity и доставляйте в $market.

Свяжитесь с $contactDesc $contactName в $market для завершения доставки.","$daysLeft дней чтобы завершить доставку.

Вознаграждение $rewardCredits ($perUnit за единицу).

Бонус $bonusCredits кредитов, если он доставлен в течение $bonusDays дней.

$market контролируется властями $marketFaction.

$contactName $contactDetail.",,,"no_system_prefix, important",,
market_procurement,success,,,player_intel_always,Завершено: $quantity единицу(ы) $commodity доставлены в $market,Миссия успешно завершена.,$actualReward выиграл.,,,"no_system_prefix, important",,
market_procurement,success_bonus,,,player_intel_always,Завершено: $quantity единицу(ы) $commodity доставлены в $market,Миссия успешно завершена.,"$actualReward получено, включая $bonusCredits бонусом.",,,"no_system_prefix, important",,
market_procurement,failure,,,player_intel_always,Неудача: не удалось вовремя доставить $quantity единицу(ы) $commodity в $market,Миссия провалена - крайний срок не соблюден.,,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# analyze entity mission,,,,,,,,,,,,


analyze_entity,posting,,,posting,Запустите предоставленный пакет датчиков на $entityName в $systemName в течение $daysLeft для $rewardCredits оплаты.,"Миссия будет считаться завершенной, а оплата будет произведена сразу же после запуска пакета датчиков.",$locationHint,,,no_system_prefix,,
analyze_entity,accept,,,secure_comm,Принято: запустить пакет датчиков на $entityName в $systemName,"$rewardCredits вознаграждение должно быть завершено в течение $daysLeft.


Миссия будет считаться завершенной, а оплата будет произведена сразу же после запуска пакета датчиков.",$locationHint,,,"no_system_prefix, important",,
analyze_entity,failure,,,player_intel_always,Неудача: запуск пакета датчика на $entityName в $systemName,Миссия провалена - крайний срок не соблюден.,,,,"no_system_prefix, important",,
analyze_entity,success,,,player_intel_always,Завершено: запуск пакета датчиков на $entityName в $systemName,Миссия успешно завершена.,Получено $rewardCredits кредитов.,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# survey planet mission,,,,,,,,,,,,
survey_planet,posting,,,posting,Проведите полное исследование $planetName в $systemName в течение $daysLeft дней для награды $rewardCredits кредитов.,"Миссия будет считаться завершенной, а выплата будет произведена сразу же после завершения обследования.",$surveyInfo,,,no_system_prefix,,
survey_planet,accept,,,secure_comm,Принято: провести полное исследование  $planetName в $systemName,"Награда $rewardCredits кредитов, должна быть завершена в течение $daysLeft дней.

Миссия будет считаться завершенной, а выплата будет произведена сразу же после завершения исследования.",$surveyInfo,,,"no_system_prefix, important",,
survey_planet,failure,,,player_intel_always,Неудача: выполнить полное исследование $planetName в $systemName,Миссия провалена - крайний срок не соблюден.,,,,"no_system_prefix, important",,
survey_planet,success,,,player_intel_always,Завершено: проведено полное исследование $planetName в $systemName,Миссия успешно завершена.,Получено $rewardCredits кредитов.,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# tutorial mission,,,,,,,,,,,,
tutorial_mission,start,,,secure_comm,Безопасная связь из Ancyra,"Вы получаете узкополосную связь с главного обитаемого мира системы, Ancyra.

Сообщение краткое просит вас прибыть туда и связаться с $mainContactPost $mainContactName как можно скорее.",,,,"no_system_prefix, important",,
tutorial_mission,sneak_start,,,player_intel_always,Acquire jump-point data at Derinkuyu,"Свяжитесь с $dataContactName на горнодобывающей станции Derinkuyu, чтобы получить исходные показания точки перехода.

Контакт должен быть установлен с выключенным транспондером, так как шахтеры Derinkuyu перешли на сторну пиратов, и ваш флот будет атакован в противном случае.","Используйте ""Go Dark"", чтобы избежать обнаружения, и ""Emergency Burn"", чтобы уйти, если вас заметят.",,,"no_system_prefix, important",,
tutorial_mission,sneak_end,,,player_intel_always,Вернитесь в Ancyra с данными,"Вернитесь в Ancyra и свяжитесь с $mainContactPost $mainContactLastName, чтобы доставить данные о точке перехода.",,,,"no_system_prefix, important",,
