id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
battlestation_high,Боевая станция - Высокотехнологичная,100,120,,4,orbitalstation_high,starfortress_high,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_hightech_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Космическая станция, дополненная оборонительной цитаделью с большой огневой мощью.

Должна быть уничтожена перед вторжением или бомбардировкой.",2080,
starfortress_high,Звездная крепость - Высокотехнологичная,200,180,,5,battlestation_high,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_hightech_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Бронированная боевая станция с оборонительными дронами класса Горгулья и прицельными минными телепортами дальнего действия.

Должна быть уничтожена перед вторжением или бомбардировкой.",2090,
grounddefenses,Наземная оборона,30,60,,2,,heavybatteries,"grounddefenses, unraidable, tactical_bombardment, structure",,graphics/icons/industry/ground_defenses.png,com.fs.starfarer.api.impl.campaign.econ.impl.GroundDefenses,"Рассредоточенная, полуавтономная сеть небольших скрытых оружейных установок, которая делает перспективу прямого наземного нападения и даже простых рейдов чрезвычайно дорогостоящим мероприятием. Только подавляющая орбитальная бомбардировка или массивное исследование и поиск слабых сторон обороны, могут подавить наземную оборону.  ",2200,
heavybatteries,Тяжелые батареи,60,90,,3,grounddefenses,,"grounddefenses, unraidable, tactical_bombardment, structure",,graphics/icons/industry/heavy_batteries.png,com.fs.starfarer.api.impl.campaign.econ.impl.GroundDefenses,"Бронированные подземные батареи дополняют рассеянную сеть небольших скрытых установок оружия. Наземные батареи способны на действительно потрясающую огневую мощь, хотя это проявляется только в усложнении наземных операций, поскольку ни один капитан корабля не будет настолько глуп, чтобы соваться под их огонь.",2300,
patrolhq,Штаб патруля,60,60,,8,,militarybase,"patrol, unraidable, tactical_bombardment, structure",,graphics/icons/industry/patrol_hq.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,"Ангары, отсеки для технического обслуживания, командно-диспетчерский центр, казармы и логистические операции, необходимые для размещения войск по всей звездной системе. После создания военные патрули будут охотиться на пиратов и защищать дружественные конвои.",2400,
militarybase,Военная база,90,120,,10,patrolhq,highcommand,"military, unraidable, tactical_bombardment, industry",,graphics/icons/industry/military_base.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,"Это оборудование позволяет войскам действовать по все звездной системе. Любое такое военное предприятие - это огромная логистическая работа, требующая координации десятков, возможно, сотен звездных кораблей и тысяч офицеров, экипажей и солдат.",2500,
highcommand,Верховное командование,30,120,,14,militarybase,,"command, unraidable, tactical_bombardment, industry",,graphics/icons/industry/high_command.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,"Транстеллярная империя возможна только благодаря особому корпусу офицеров и бюрократов, наделенных властью над ресурсами целых звездных систем. Верховное командование позволяет организовывать и проводить военные операции по всему сектору.",2600,
lionsguard,Штаб-квартира гвардии Льва,90,60,,6,,,"military, unraidable, tactical_bombardment, structure",,graphics/icons/industry/lions_guard.png,com.fs.starfarer.api.impl.campaign.econ.impl.LionsGuardHQ,"Штаб-квартира ужасающей личной гвардии Филиппа ""Лев Синдрии"" Андрада. Обладая превосходной подготовкой и доступом к самому лучшему оборудованию, которое можно купить, фанатичная лояльность Гвардии поддерживается с помощью системы льгот и стимулов, которые одновременно повышают и изолируют гвардию от регулярных вооруженных сил Диктата.",2650,
planetaryshield,Планетарный щит,150,90,,3,,,"grounddefenses, structure",,graphics/icons/industry/planetary_shield.png,com.fs.starfarer.api.impl.campaign.econ.impl.PlanetaryShield,"Оболочка заряженной плазмы, засеянная экзотическими виртуальными частицами, производящими эффекты, которые нарушают боевую эффективность дальней бомбардировки и даже вторжения небольших судов. Планетарный щит может постоянно заряжаться и управляться центральным источником и представляет собой грозное препятствие для любого вида наземного нападения.",2700,EXTREME
waystation,Промежуточная станция,20,60,,2,,,"waystation, structure",,graphics/icons/industry/waystation.png,com.fs.starfarer.api.impl.campaign.econ.impl.Waystation,"Склад снабжения и обслуживания межзвездных флотов. Увеличивает доступность колонии.",155,MEDIUM
cryosanctum,Криосанктум,150,90,,5,,,"cryosanctum, structure",,graphics/icons/industry/cryosanctum.png,com.fs.starfarer.api.impl.campaign.econ.impl.Cryosanctum,"Огромный, похожий на гробницу склеп, построенный для хранения тех, кто решил рискнуть криосном, чтобы пережить это смутное время и проснуться в более цивилизованном веке. Сами криоподы имеют незначительный размер, по сравнению с многократно превосходящей вспомогательной инфраструктурой, массивными автоматизированными системами безопасности и противокорабельными батареями, размещенными в разветвленной подземной крепости-лабиринте.",3000,EXTREME
,,,,,,,,,,,,,,
cryorevival,Установка для криовыживания,60,60,,5,,,"cryorevival, structure",,graphics/icons/industry/cryorevival.png,com.fs.starfarer.api.impl.campaign.econ.impl.Cryorevival,"Необходимые средства для массового возрождения и ассимиляции пассажиров Криослипера эпохи Доменов. Значительно увеличивает рост населения.",3200,MEDIUM
