id,trigger,conditions,script,text,options,notes
gateOpenDialogCanScan1a,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Безмолвное кольцо из адамантия, оставшееся от прежней эпохи.

Вы просканировали эти Врата и обнаружили ритм сердца тайного существа, скрытого в гиперпространстве.",,
gateOpenDialogCanScan2,OpenInteractionDialog,"$tag:gate
$global.canScanGates
$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Безмолвное кольцо из адамантия, оставшееся от прежней эпохи.

Ваш сенсорный офицер кивает вам; гиперволновой сканер готов. Слова 'ВЫПОЛНИТЬ СКАНИРОВАНИЕ' выжидательно мигают в вашем командном интерфейсе.

Вам понадобится сканирование этих ворот, чтобы иметь возможность использовать их с устройством Janus в качестве входа или выхода из сети Врат.",,
gateFlyThrough,DialogOptionSelected,$option == gateFlyThrough,"$flewThrough = true 0
FireAll PopulateGateOptions","Вы приказываете своему флоту пересечь мертвые врата. Ваша команда на мостике особенно тиха во время перехода.

Ничего не происходит.",,
gateScanSelFirstTime,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.numGatesScanned == 0
$global.gaATG_inProgress","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","На вашем командном дисплее отображается изображение гиперпространственного многообразия, окружающего Врата. Они спокойны и прохладены, лишены движения.

В начале сканирования вы наблюдаете, как между значком, представляющим ваш флагман и значком, обозначающем Ворота, вспыхивает линия разрыва. Спирали и рябь разливаются неньютоновскими волнами, поднимаясь из точки в центре Ворот. Нет, это не точка - круг, сфера, шар и перевернутая воронка; какая-то другая форма, которая заставляет вас зажмуриться. Вы слышите слабую музыку издалека.

""Капитан?"" Ваш сенсорный офицер рапортует ""Сканирование завершено."" Вы понимаете, что он говорит это уже второй раз и вы жестикулируете, как будто просто погрузились в свои мысли.",,
gateScanSelDuringMission,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.gaATG_inProgress
$global.numGatesScanned > 0
$global.numGatesScanned < 6","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","На вашем командном дисплее отображается изображение гиперпространственного многообразия. Здесь спокойствие и холод.

Сканирование начинается, между вашим флагманом и воротами вспыхивает линия разрыва. Спирали и рябь разливаются и всплески неньютоновских всплесков из точки в центре Врат. Нет, не точка - круг, сфера, тор и перевернутая воронка; затем некоторая геометрия, которая не разбирается.
Вы слышите слабую музыку.

""Капитан,"" Ваш сенсорный офицер рапортует, ""Сканирование завершено.""",,
gateScanSel,DialogOptionSelected,$option == gateScan,"$gateScanned = true
$global.numGatesScanned++
GateCMD notifyScanned
ShowDefaultVisual
FireAll PopulateGateOptions","На вашем командном дисплее отображается изображение гиперпространственного многообразия. Здесь спокойствие и холод.

Сканирующий луч вспыхивает на гиперразмерном дисплее. Спирали и рябь выплескиваются в вспышки из Ворот, перерастая в непостижимую геометрию. Вы слышите слабый звук музыки.

""Капитан,"" Ваш сенсорный офицер рапортует, ""Сканирование завершено.""",,
gateUseOptSel,DialogOptionSelected,"$option == gateUse
$global.gatesActive",GateCMD selectDestination,,,
gateFlyThroughOpt,PopulateGateOptions,"!$flewThrough
!$global.gatesActive
!$gateExploded",,,5:gateFlyThrough:Пролететь через Ворота,
gateUseOpt,PopulateGateOptions,"$global.gatesActive
$global.playerCanUseGates
$gateScanned",,,10:gateUse:Путешествовать через Ворота,
gateScanOpt,PopulateGateOptions,"!$gateScanned
$global.canScanGates",,,0:gateScan:Сканирование Ворот,
gateLeaveOpt,PopulateGateOptions,,,,100:defaultLeave:Покинуть,
,,,,,,
# Gate scan count during gaATG,,,,,,
,,,,,,
gaATGgateScanSummaryLuddic,GAATGGateScanSummary,$GAATGluddicPostScan score:1000,"Call $global.gaATG_ref luddicGateFleetMoveBack
unset $GAATGluddicPostScan",,gaATG_gateScanSummaryLuddic2:Продолжить,"# this step is to add a ""Continue"" to break up the huge block of text."
gaATGgateScanSummaryLuddic2,DialogOptionSelected,$option == gaATG_gateScanSummaryLuddic2,FireBest GAATGGateScanSummary,"Вы лично провожаете группу верных Luddic, которые несли вахту с вашего флагмана. Их флот возвращается; их коллективная преданность непрерывна.

""Благословение Ludd тебе, капитан,"" — говорит их лидер. ""Я буду хорошо отзываться о вас Вернувшемуся Пророку.""

Вы знаете, что нужно кивнуть в знак принятия, не поднимая никаких богословских вопросов, и вежливо помахать, когда их шаттл покидает бухту.",,
gaATGgateScanEndCheck1,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned >= 6","$global.gaATG_scannedSixGates = true
Call $global.gaATG_ref updateStage
FireAll PopulateGateOptions",,,
gaATGgateScanEndCheck2,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned < 6",FireAll PopulateGateOptions,,,
,,,,,,
,,,,,,
# Gate dev testing options,,,,,,
devGateCanScanOn,PopulateGateOptions,"$global.isDevMode
!$global.canScanGates",SetOptionColor devGateScanOn gray,,"200:devGateScanOn:>> (dev) Turn ON ""allow player to scan gates""",
devGateCanScanOff,PopulateGateOptions,"$global.isDevMode
$global.canScanGates",SetOptionColor devGateScanOff gray,,"200:devGateScanOff:>> (dev) Turn OFF ""allow player to scan gates""",
devGatesActiveOn,PopulateGateOptions,"$global.isDevMode
!$global.gatesActive",SetOptionColor devGateActiveOn gray,,"201:devGateActiveOn:>> (dev) Turn ON ""gates active""",
devGatesActiveOff,PopulateGateOptions,"$global.isDevMode
$global.gatesActive",SetOptionColor devGateActiveOff gray,,"201:devGateActiveOff:>> (dev) Turn OFF ""gates active""",
devGatesPlayerCanUseOn,PopulateGateOptions,"$global.isDevMode
!$global.playerCanUseGates",SetOptionColor devGateCanUseOn gray,,"202:devGateCanUseOn:>> (dev) Turn ON ""player can use gates""",
devGatesPlayerCanUseOff,PopulateGateOptions,"$global.isDevMode
$global.playerCanUseGates",SetOptionColor devGateCanUseOff gray,,"202:devGateCanUseOff:>> (dev) Turn OFF ""player can use gates""",
devGatesExplode,PopulateGateOptions,"$global.isDevMode
!$gateExploded",SetOptionColor devGateExplode gray,,210:devGateExplode:>> (dev) Explode the gate,
devGateCanScanOnSel,DialogOptionSelected,$option == devGateScanOn,"$global.canScanGates = true
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGateCanScanOffSel,DialogOptionSelected,$option == devGateScanOff,"$global.canScanGates = false
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGatesActiveOnSel,DialogOptionSelected,$option == devGateActiveOn,"$global.gatesActive = true
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesActiveOffSel,DialogOptionSelected,$option == devGateActiveOff,"$global.gatesActive = false
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOnSel,DialogOptionSelected,$option == devGateCanUseOn,"$global.playerCanUseGates = true
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOffSel,DialogOptionSelected,$option == devGateCanUseOff,"$global.playerCanUseGates = false
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesExplodeSel,DialogOptionSelected,$option == devGateExplode,"GateCMD explode
$gateExploded = true 0
FireAll PopulateGateOptions",Из Врат вырывается волна энергии.,,
,,,,,,
,,,,,,
# stellar mirror and shade interactions,,,,,,
stellarMirrorOpenDialog,OpenInteractionDialog,$tag:stellar_mirror,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarMirrorLeave ""ESCAPE""",,stellarMirrorLeave:Покинуть,
stellarMirrorLeave,DialogOptionSelected,$option == stellarMirrorLeave,DismissDialog,,,
stellarShadeDialog,OpenInteractionDialog,$tag:stellar_shade,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarShadeLeave ""ESCAPE""",,stellarShadeLeave:Покинуть,
stellarShadeLeave,DialogOptionSelected,$option == stellarShadeLeave,DismissDialog,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
#dialogTopLevelMenuOptions,PopulateOptions,$menuState == fleetConvMain,,,"#demand:Требовать...
#offer:Предложить...
#ask about:Спросить...
cutCommLink:Отключить связь",
,,,,,,
,,,,,,
# survey interactions,,,,,,
surveyStar,OpenInteractionDialog,$tag:star score:1000,,Ваш $shipOrFleet приближается к $entityName.,10:surveyLeave:Покинуть,
surveyOpen,OpenInteractionDialog,$market.isPlanetConditionMarketOnly,"ShowDefaultVisual
PrintDescription 3
FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo",Ваш $shipOrFleet приближается к $entityName.,,
surveyOpenDeciv,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$market.wasCivilized
$market.mc:decivilized score:100","ShowDefaultVisual
FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","Ваш $shipOrFleet приближается к $entityName.

На $market царит хаос, периодические выстрелы доносящиеся со всех сторон, беженцы бегающие в панике и разруха вокруг дополняют картину случившейся трагедии. Крах старого режима неизбежен, хотя новая колония всё ещё может быть создана на обломках старой.",,
surveyPrintFullData,PrintHasSurveyDataTextIfSo,$market.isSurveyed,,У вас достаточно данных об этой планете.,,
surveyAddOptionPerform,PopulateOptions,"$market.isPlanetConditionMarketOnly
!$market.isSurveyed",,,0:surveyPerform:Провести исследование,
surveyPrintHostilesText,PrintNearbySurveyHostilesTextIfSo,"$market.isPlanetConditionMarketOnly
!$market.isSurveyed
HostileFleetNearbyAndAware",SetEnabled surveyPerform false,"Находящийся поблизости вражеский флот отслеживает ваши передвижения, что делает проведение разведывательной операции невозможным.",,
surveySystemIsCutOffCanNotColonize,PrintSystemCutOffText,"$systemCutOffFromHyper
$market.isPlanetConditionMarketOnly
$market.isSurveyed
!$market.hasUnexploredRuins",SetEnabled surveyPerform false,"Эта система отрезана от гиперпространства, а точки прыжка нестабильны. Экипаж и даже офицеры притихли; на грани. Вы считаете маловероятным, что какая-либо доплата за работу в опасных условиях сможет преодолеть почти суеверный страх экипажа перед тем, как застрять в такой системе.

Создание колонии здесь не вариант.",,
surveyAddOptionPerformedAlready,PopulateOptions,"$market.isPlanetConditionMarketOnly
$market.isSurveyed
!$market.hasUnexploredRuins",FireBest PrintSystemCutOffText,,0:surveyPerform:Основать колонию,
surveyPrintHostilesTextEstColony,PrintNearbySurveyHostilesTextIfSo,"$market.isPlanetConditionMarketOnly
$market.isSurveyed
!$market.hasUnexploredRuins
HostileFleetNearbyAndAware",SetEnabled surveyPerform false,"Находящийся поблизости вражеский флот отслеживает ваши передвижения, что делает невозможным основание колонии.",,
surveyOptionPerformSurvey,DialogOptionSelected,$option == surveyPerform,OpenCoreTab CARGO OPEN,Ваш $shipOrFleet выходит на низкую орбиту $entityName.,,
surveyAddOptionLeave,PopulateOptions,$market.isPlanetConditionMarketOnly,"SetShortcut surveyLeave ""ESCAPE""",,10:surveyLeave:Покинуть,
surveyOptionLeave,DialogOptionSelected,$option == surveyLeave,DismissDialog,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
# market interactions,,,,,,
# default market interactions,,,,,,
marketOpen,OpenInteractionDialog,$hasMarket,"ShowDefaultVisual
PrintDescription 3
FireBest MarketPostOpen",Ваш $shipOrFleet приближается к $entityName.,,
marketDock,MarketPostDock,,"$menuState = main 0
FireAll PopulateOptions",,,
marketOpenAfterEstablishOutpost,OutpostEstablished,$hasMarket,FireBest MarketPostOpen,"Ваш $shipOrFleet заканчивает выгрузку экипажа, припасов и техники на $onOrAt $market, вскоре начинается возведение временного жилья и зданий первой необходимости.",,
marketReturnFromBar,ReturnFromBar,,"$menuState = main 0
FireAll PopulateOptions","Вы выходите из бара и садитесь в шаттл, который возвращает вас на $shipOrFleet.",,
marketPostOpenDefault,MarketPostOpen,"$hasMarket
$player.transponderOn
!$faction.isNeutralFaction","$tradeMode = OPEN 0
FireBest MarketPostDock",Ваш $shipOrFleet передает идентификационные коды через транспондер и вскоре вам предоставляется разрешение на стыковку.,,
marketPostOpenDefaultNeutral,MarketPostOpen,"$hasMarket
$faction.isNeutralFaction score:100","$tradeMode = OPEN 0
FireBest MarketPostDock",,,
marketPostOpenNoTrade,MarketPostOpen,"$hasMarket
$player.transponderOn
!$faction.c:allowsTransponderOffTrade
!$market.mc:free_market
RepIsAtBest $faction.id INHOSPITABLE","$tradeMode = NONE 0
FireBest MarketPostDock","Учитывая, что $TheFactionLong из $factionIsOrAre находится в $relAdjective отношениях с вами, администрация порта отклонила ваше разрешение на стыковку.

Возможно, вы сможете установить контакт с подпольными организациями, если войдете с выключенным транспондером.",,
marketPostOpenNoTradeHostile,MarketPostOpen,"$hasMarket
!$player.transponderOn
$market.playerHostileTimeout score:100","$tradeMode = NONE 0
SetTextHighlightColors bad
Highlight $market.playerHostileTimeoutStr 
FireBest MarketPostDock","Ваши недавние враждебные действия вокруг $market вызвали большой интерес у местных властей и просто стыковаться с выключенным транспондером уже не получится. Судя по сплетням и новостям, вы понимаете, что это займет $playerHostileTimeoutStr, пока шумиха не утихнет.",,
marketPostOpenNoTradeHostileTOn,MarketPostOpen,"$hasMarket
$player.transponderOn
$market.playerHostileTimeout score:100","$tradeMode = NONE 0
SetTextHighlightColors bad
Highlight $market.playerHostileTimeoutStr 
FireBest MarketPostDock","Ваши недавние враждебные действия вокруг $market вызвали большой интерес у местных властей и законно торговать не получится. Судя по сплетням и новостям, вы понимаете, что это займет $playerHostileTimeoutStr, пока шумиха не утихнет.",,
marketPostOpenNoTradeOffOpen,MarketPostOpen,"$hasMarket
$player.transponderOn
RepIsAtBest $faction.id INHOSPITABLE score:10","$tradeMode = NONE 0
FireBest MarketPostDock","Учитывая, что $TheFactionLong из $factionIsOrAre находится в $relAdjective отношениях с вами, администрация порта отклонила ваше разрешение на стыковку.

Отказ довольно поверхностный, и у вас создается впечатление, что отключение транспондера для предотвращения идентификации может дать лучшие результаты.",,
marketPostOpenToOffPatrols,MarketPostOpen,"$hasMarket
!$player.transponderOn
!$faction.c:allowsTransponderOffTrade
!$market.mc:free_market
IsSeenByPatrols $faction.id true","$tradeMode = NONE 0
AddText ""Вам нужно включить транспондер, чтобы участвовать в законной торговле, или войти незамеченным, чтобы торговать на черном рынке."" bad
FireBest MarketPostDock","Ваш $shipOrFleet выходит на орбиту около $market, игнорируя запросы администрации порта $faction идентифицировать себя.

Похоже один из патрулей $faction следит за вами, из-за этого ни одна из подпольных группировок не готова торговать с вами.",,
marketPostOpenSought,MarketPostOpen,"$hasMarket
IsSoughtByPatrols $faction.id score:100","$tradeMode = NONE 0
FireBest MarketPostDock","Ваш $shipOrFleet выходит на орбиту около $market.

Похоже один из патрулей $faction отслеживает ваши передвижения, и администрация порта отклоняет вашу просьбу о разрешении стыковки до тех пор, пока вопрос не будет решен.",,
marketPostOpenToOffIsFine,MarketPostOpen,"$hasMarket
!$player.transponderOn","$tradeMode = OPEN 0
FireBest MarketPostDock","Ваш $shipOrFleet выходит на орбиту около $market. Похоже администрацию порта устроили ваши объяснения, почему ваш транспондер не может быть включен.",,
marketPostOpenPlayerOwnerd,MarketPostOpen,"$hasMarket
$market.isPlayerOwned score:1000","$tradeMode = OPEN 0
FireBest MarketPostDock",Ваш $shipOrFleet выходит на орбиту около $market.,,
marketPostOpenToOffSneak,MarketPostOpen,"$hasMarket
!$player.transponderOn
!$faction.c:allowsTransponderOffTrade
!$market.mc:free_market","$tradeMode = SNEAK 0
FireBest MarketPostDock","Ваш $shipOrFleet выходит на орбиту вокруг $market, игнорируя запросы администрации порта $theFaction идентифицировать себя.

Похоже, что ещё ни один патрули $faction не знают о вашем присутствии и это дает вам возможность тайно торговать, если вы не можете стыковаться со станцией.",,
marketAddOptionCommDir,PopulateOptions,"$hasMarket
$menuState == main
!$faction.isNeutralFaction",,,1:marketCommDir:Открыть список контактов,
marketOptTradeMulti,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
!$faction.isNeutralFaction
$faction.id != player",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,"10:marketOpenCoreUI:Торговля и экипаж [I], корабли [F], переоснащение [R]","10:marketOpenCoreUI:Торгуйте товарами или нанимайте экипаж, покупайте или продавайте корабли или переоснащайте их"
marketOptTradeMulti2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.isNeutralFaction",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,10:marketOpenCoreUI:Передача товаров или кораблей,
marketOptTradeMulti3,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.id == player",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,10:marketOpenCoreUI:Управлять колонией,
marketOptTradeMulti4,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == NONE",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,10:marketOpenCoreUI:Просмотреть информации о колонии,
marketOptBar,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
!$faction.isNeutralFaction",,,5:marketVisitBar:Спуститься на шаттле вниз для посещения портового бара,
marketOptHostile,PopulateOptions,"$hasMarket
$menuState == main
!$faction.isNeutralFaction
$faction.id != player",,,20:marketConsiderHostile:Ознакомиться с вашими военными возможностями,
marketHostileSel,DialogOptionSelected,$option == marketConsiderHostile,MarketCMD showDefenses,,,
marketHostileGoBackSel,DialogOptionSelected,$option == mktGoBack,"ShowDefaultVisual
FireAll PopulateOptions",,,
marketHostileEngageSel,DialogOptionSelected,$option == mktEngage,MarketCMD engage,,,
marketHostileRaidSel,DialogOptionSelected,$option == mktRaid,MarketCMD raidMenu,,,
marketHostileRaidNonMarket,DialogOptionSelected,$option == mktRaidNonMarket,MarketCMD raidNonMarket,,,
marketHostileRaidGoBackSel,DialogOptionSelected,$option == mktRaidGoBack,MarketCMD goBackToDefenses,,,
marketHostileRaidRareSel,DialogOptionSelected,$option == mktRaidRare,MarketCMD raidRare,,,Unused.
marketHostileRaidValuableSel,DialogOptionSelected,$option == mktRaidValuable,MarketCMD raidValuable,,,
marketHostileRaidDisruptSel,DialogOptionSelected,$option == mktRaidDisrupt,MarketCMD raidDisrupt,,,
marketHostileRaidConfirmSel,DialogOptionSelected,$option == mktRaidConfirm,MarketCMD raidConfirm,,,
marketHostileRaidConfirmContSel,DialogOptionSelected,$option == mktRaidConfirmContinue,MarketCMD raidConfirmContinue,,,
marketHostileRaidNeverMindSel,DialogOptionSelected,$option == mktRaidNeverMind,MarketCMD raidNeverMind,,,
marketHostileRaidResultSel,DialogOptionSelected,$option == mktRaidResult,MarketCMD raidResult,,,
marketHostileRaidPostRaidDefault,PostGroundRaid,,MarketCMD addContinueToRaidResultOption,,,
,,,,,,
,,,,,,
marketHostileBombardSel,DialogOptionSelected,$option == mktBombard,MarketCMD bombardMenu,,,
marketHostileBombardGoBackSel,DialogOptionSelected,$option == mktBombardGoBack,MarketCMD goBackToDefenses,,,
marketHostileBombardTacticalSel,DialogOptionSelected,$option == mktBombardTactical,MarketCMD bombardTactical,,,
marketHostileBombardSaturationSel,DialogOptionSelected,$option == mktBombardSaturation,MarketCMD bombardSaturation,,,
marketHostileBombardConfirmSel,DialogOptionSelected,$option == mktBombardConfirm,MarketCMD bombardConfirm,,,
marketHostileBombardNeverMindSel,DialogOptionSelected,$option == mktBombardNeverMind,MarketCMD bombardNeverMind,,,
marketHostileBombardResultSel,DialogOptionSelected,$option == mktBombardResult,MarketCMD bombardResult,,,
,,,,,,
,,,,,,
marketAddOptionRepair1,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
RepairNeeded
RepairEnoughSupplies","SetTooltip marketRepair ""Полный ремонт потребует $global.repairSupplyCost припасов. Доступно $player.supplies припасов.""
SetTooltipHighlightColors marketRepair buttonShortcut buttonShortcut
SetTooltipHighlights marketRepair $global.repairSupplyCost $player.supplies
SetShortcut marketRepair ""A"" true",,15:marketRepair:Отремонтировать свои корабли на верфи,
marketAddOptionRepair2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
!RepairNeeded","SetTooltip marketRepair ""Ваш $shipOrFleet не требует ремонта.""
SetShortcut marketRepair ""A"" true
SetEnabled marketRepair false",,15:marketRepair:Отремонтировать свои корабли на верфи,
marketAddOptionRepair3,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
RepairNeeded
!RepairEnoughSupplies","SetTooltip marketRepair ""Полный ремонт потребует $repairSupplyCost припасов. Доступно только $supplies припасов.""
SetTooltipHighlightColors marketRepair buttonShortcut buttonShortcut
SetTooltipHighlights marketRepair $global.repairSupplyCost $player.supplies
SetShortcut marketRepair ""A"" true
SetEnabled marketRepair false",,15:marketRepair:Отремонтировать свои корабли на верфи,
marketAddOptionLeave,PopulateOptions,"$hasMarket
$menuState == main","SetTooltip marketLeave $marketLeaveTooltip
SetShortcut marketLeave ""ESCAPE""",,100:marketLeave:Покинуть,
,,,,,,
marketOpenCoreSel,DialogOptionSelected,$option == marketOpenCoreUI,,,,
marketOptionTradeCargo,DialogOptionSelected,$option == marketTradeCargo,OpenCoreTab CARGO $tradeMode,Вы устанавливаете связь с системой управления грузами портового управления и просматриваете инвентарь.,,
marketOptionTradeShips,DialogOptionSelected,$option == marketTradeShips,OpenCoreTab FLEET $tradeMode,Вы устанавливаете связь с верфью и просматриваете новые доступные корпуса.,,
marketOptionRefit,DialogOptionSelected,$option == marketRefit,OpenCoreTab REFIT $tradeMode,Вы устанавливаете связь с верфью и передаете свой статус $shipOrFleet.,,
marketOptionRepairAll,DialogOptionSelected,$option == marketRepair,"RepairAll
SetTextHighlights $global.repairSupplyCost
SetEnabled marketRepair false
SetTooltip marketRepair ""Ваш $shipOrFleet не требует ремонта.""","Ваш $shipOrFleet полностью отремонтирован и восстановил боеготовность, в результате чего было потрачено $global.repairSupplyCost припасов.",,
marketOptionCommDir,DialogOptionSelected,$option == marketCommDir,OpenCommDirectory,"Вы связались с местным списком контактов и начали просматривать список персонажей, которые уже были идентифицированы.",,
marketOptionLeave,DialogOptionSelected,$option == marketLeave,DismissDialog,,,
,,,,,,
,,,,,,
# Food Shortage Event finish,,,,,,
marketPostOpenFSEPlayerFast,FoodShortageEndedByPlayerSale,"$hasMarket
$market.foodShortageEndedByPlayerFast","unsetAll $market.foodShortage
FireBest MPOAddContinue","Благодаря вашим усилиям нехватка продовольствия теперь закончилась, прежде чем у нее появился шанс вызвать большой хаос. Долгосрочная стабильность $market не зависит от дефицита.",,
marketPostOpenFSEPlayer,FoodShortageEndedByPlayerSale,"$hasMarket
$market.foodShortageEndedByPlayer","unsetAll $market.foodShortage
FireBest MPOAddContinue","Благодаря вашим усилиям нехватка продовольствия теперь закончилась. Его влияние на стабильность $market снижается.",,
marketPostOpenFSEPlayerBlack,FoodShortageEndedByPlayerSale,"$hasMarket
$market.foodShortageEndedByPlayerBlack","unsetAll $market.foodShortage
FireBest MPOAddContinue","Благодаря вашим незаконным усилиям, нехватка продовольствия теперь закончилась. Поскольку большая часть доставленных вами продуктов прошла по преступным каналам, нет особой надежды - да и желания - на официальное признание.",,
